"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","502","test_accept_order_with_wrong_courier_id","tests","2026-08-13","passed","2026-08-13","TestOrders","test_orders","",""
"","456","test_create_courier_without_password","tests","2026-08-13","passed","2026-08-13","TestCourier","test_courier","",""
"","439","Успешный логин курьера в систему","tests","2026-08-13","passed","2026-08-13","TestCourier","test_courier","",""
"","1477","Успешное создание курьера со всеми обязательными полями","tests","2026-08-13","passed","2026-08-13","TestCourier","test_courier","",""
"","449","test_accept_order_with_wrong_order_id","tests","2026-08-13","passed","2026-08-13","TestOrders","test_orders","",""
"","443","test_login_missing_login","tests","2026-08-13","passed","2026-08-13","TestCourier","test_courier","",""
"","1462","test_accept_order_success","tests","2026-08-13","passed","2026-08-13","TestOrders","test_orders","",""
"","469","test_get_order_by_number_not_found","tests","2026-08-13","passed","2026-08-13","TestUtils","test_utils","",""
"","484","Параметризованный тест создания заказа с выбором различных цветов","tests","2026-08-13","passed","2026-08-13","TestOrders","test_orders","",""
"","477","test_create_courier_without_login","tests","2026-08-13","passed","2026-08-13","TestCourier","test_courier","",""
"","481","test_get_order_by_number_missing","tests","2026-08-13","passed","2026-08-13","TestUtils","test_utils","",""
"","475","Параметризованный тест создания заказа с выбором различных цветов","tests","2026-08-13","passed","2026-08-13","TestOrders","test_orders","",""
"","559","test_login_wrong_password","tests","2026-08-13","passed","2026-08-13","TestCourier","test_courier","",""
"","507","test_login_missing_password","tests","2026-08-13","passed","2026-08-13","TestCourier","test_courier","",""
"","481","test_login_wrong_login","tests","2026-08-13","passed","2026-08-13","TestCourier","test_courier","",""
"","477","test_accept_order_without_courier_id","tests","2026-08-13","passed","2026-08-13","TestOrders","test_orders","",""
"","466","Параметризованный тест создания заказа с выбором различных цветов","tests","2026-08-13","passed","2026-08-13","TestOrders","test_orders","",""
"","480","test_accept_order_without_order_id","tests","2026-08-13","passed","2026-08-13","TestOrders","test_orders","",""
"","980","Успешное получение полной информации о заказе по его трек-номеру","tests","2026-08-13","passed","2026-08-13","TestUtils","test_utils","",""
"","479","test_delete_courier_not_found","tests","2026-08-13","passed","2026-08-13","TestCourier","test_courier","",""
"","1822","test_create_duplicate_courier","tests","2026-08-13","passed","2026-08-13","TestCourier","test_courier","",""
"","654","Получение общего списка всех существующих заказов","tests","2026-08-13","passed","2026-08-13","TestOrders","test_orders","",""
"","473","Параметризованный тест создания заказа с выбором различных цветов","tests","2026-08-13","passed","2026-08-13","TestOrders","test_orders","",""
"","466","test_delete_courier_without_id","tests","2026-08-13","passed","2026-08-13","TestCourier","test_courier","",""
